,pitch_id,pitch_type,pitch_result,action,hit_id,stroke,event_len,game_score,inning,inning_outs,play_outs,count_appearance,count_play,batter
16,bb53738f-62d0-4eb6-b9f9-0ebc5176f4a7,Cutter,HitIntoPlay,{},cac8582a-8ab9-4d75-809f-d0bbc309cb25,{},1,0 - 0,2,1,1,2 - 1,0 - 0,{'mlbId': 505414610}
17,c891aaee-6618-4d8b-9bc2-a77be47e468d,Sinker,Strike,{},{},{},0,0 - 0,3,0,1,1 - 2,0 - 1,
18,30283af3-84b9-4de0-b972-8977d3ccff0c,Sinker,HitIntoPlay,{},1c2ac927-d7e3-475d-a121-ae837139f3f8,{},1,0 - 0,3,0,1,0 - 0,0 - 0,{'mlbId': 360906992}
19,8534bc84-5126-4f30-aac0-85399ea3b921,Slider,Ball,Called,{},{},0,9 - 0,7,0,0,1 - 2,1 - 0,
20,fe96e47f-8266-4ead-acdb-b1dc1ac6963b,Sinker,Strike,Foul,88580dec-fb03-459b-9783-6d69af7706ec,{},1,0 - 0,3,1,0,1 - 1,0 - 1,{'mlbId': 352830460}
21,29229aa2-b006-4e1b-88f3-16bab43e6f8b,Slider,Strike,{},{},{},0,9 - 0,7,0,0,1 - 0,0 - 1,
22,95fe2dee-4c63-4288-bf9f-bab1c0a6ad2e,Sinker,Ball,Called,{},{},0,9 - 0,8,2,0,2 - 0,1 - 0,
23,68238140-c3ec-432c-b7a9-914448e15d39,Sinker,Strike,Called,{},{},0,6 - 0,4,0,0,3 - 1,0 - 1,
24,32fe3461-e038-4c5d-898c-bcf35825be15,Curveball,HitIntoPlay,{},dc74e9a0-ad4b-4735-8927-0364731e3ffe,{},1,0 - 0,3,2,1,1 - 1,0 - 0,{'mlbId': 654287703}
25,5245f3e2-0ea5-437a-8260-741f2a9f6fb0,Cutter,Ball,Called,{},{},0,6 - 0,4,2,0,0 - 0,1 - 0,
26,3658fd75-ff8d-4ee2-a1a5-c50a1ff49caa,Changeup,Ball,Called,{},{},0,9 - 0,8,0,0,1 - 2,1 - 0,
27,ff24838d-53b1-4b12-b05c-9da691db703e,Sinker,Ball,Called,{},{},0,9 - 0,8,2,0,1 - 2,1 - 0,
28,b2f167b0-b01c-4987-8efa-7dc1b59e3096,Curveball,Ball,Called,{},{},0,7 - 0,4,2,0,1 - 2,1 - 0,
29,561dcd15-21de-4ef2-9202-cbcc6b0e8d50,Slider,Strike,{},{},{},0,0 - 0,1,2,1,0 - 2,0 - 1,
30,e866814f-8f0c-45e4-a9f1-f5ea9354b6d7,Sinker,Strike,Foul,04d236e0-7a67-4c2e-af11-d8877bf73219,{},1,9 - 0,5,2,0,3 - 1,0 - 1,{'mlbId': 849653732}
31,87252f21-19f0-4097-a7af-b2f778089b8e,Slider,Ball,Called,{},{},0,9 - 0,7,1,0,1 - 1,1 - 0,
32,343563c2-4e3a-4511-a10d-686134897b75,Slider,HitIntoPlay,{},0e0bbfbe-de64-488f-a775-9c921559a26a,{},1,9 - 0,6,2,1,2 - 1,0 - 0,{'mlbId': 590082479}
33,cbaf8988-2da4-43e6-affa-e0ea5670e364,Sinker,HitIntoPlay,{},c2f411bd-149a-4292-8743-9be188b385ba,{},1,0 - 0,2,1,1,1 - 1,0 - 0,{'mlbId': 474808052}
34,88c7e077-be75-4960-a4be-985748ec7c64,Sinker,Ball,Called,{},{},0,0 - 0,3,1,0,1 - 0,1 - 0,
35,61a4bba0-ea15-420d-96e6-f5db62803a1e,Slider,Ball,Called,{},{},0,7 - 0,5,1,0,0 - 0,1 - 0,
36,ed70678d-7460-44b7-a630-8bd9fd85cef4,Curveball,Strike,{},{},{},0,0 - 0,2,2,0,0 - 0,0 - 1,
37,db733354-a9a2-43a4-8acb-daf127b0d677,FourSeamFastball,Strike,Called,{},{},0,4 - 0,3,2,0,2 - 1,0 - 1,
38,a8b3869b-52e1-46a9-8ff6-6a41ac4cc2d4,Sinker,Strike,Called,{},{},0,9 - 0,9,2,0,0 - 0,0 - 1,
39,0059fedc-a17a-4b87-ba57-7bd188015060,Curveball,Strike,{},{},{},0,0 - 0,1,0,1,2 - 2,0 - 1,
40,8cdee4ae-7e7d-489b-9f26-9a7a03746c30,Slider,Ball,Called,{},{},0,7 - 0,5,2,0,0 - 0,1 - 0,
41,a3ae70b8-3824-4e37-bb35-8de3bbc07a2b,Slider,Ball,Called,{},{},0,9 - 0,6,2,0,0 - 0,1 - 0,
42,f26b42be-568b-420a-8032-b9f705155507,Sinker,HitIntoPlay,{},b5ae0716-5252-42a9-a0e4-043fc79c3ef4,{},1,9 - 0,8,1,1,0 - 0,0 - 0,{'mlbId': 797957728}
43,71c8810b-f293-4e61-8c80-5e79d02dfe36,Curveball,Strike,Called,{},{},0,0 - 0,3,1,0,2 - 1,0 - 1,
44,7201f19c-fb2a-4b68-8b70-2f2d2be89857,Sinker,Ball,Called,{},{},0,2 - 0,3,2,0,3 - 2,1 - 0,
45,096effd6-7d66-4e00-bceb-471df72519c9,Curveball,Strike,{},{},{},0,0 - 0,1,1,0,0 - 0,0 - 1,
46,4ad0275c-9048-4d25-ae58-1fc47dbc15f5,FourSeamFastball,Ball,Called,{},{},0,9 - 0,7,1,0,2 - 0,1 - 0,
47,1ab37ac3-ad64-4e32-bc4e-d77d027834a5,Changeup,Strike,Called,{},{},0,9 - 0,6,1,0,2 - 1,0 - 1,
48,e3583e56-f6d0-401e-94b0-f5c85902ae77,Curveball,Ball,Called,{},{},0,9 - 0,7,2,0,0 - 1,1 - 0,
49,d77809b8-680d-4d39-a99f-8d46cdd95e31,Slider,Ball,Called,{},{},0,7 - 0,5,2,0,3 - 2,1 - 0,
50,50a4b528-b675-4f87-8b8d-5fd36dee3f25,Slider,Ball,Called,{},{},0,9 - 0,8,2,0,0 - 1,1 - 0,
51,c336d1d7-357f-4792-85d3-a14493184cee,Sinker,HitIntoPlay,{},48049927-cb11-4a83-969a-c7411eabef0e,{},1,9 - 0,8,1,1,1 - 0,0 - 0,{'mlbId': 459722179}
52,55e398ea-b97f-4e15-af57-501d10e990cb,Slider,Ball,Called,{},{},0,9 - 0,7,2,0,0 - 2,1 - 0,
53,63570424-afcd-4fb5-9a4f-c1fb92cf5763,Sinker,Ball,Called,{},{},0,0 - 0,3,0,0,2 - 1,1 - 0,
54,bbb3d477-4241-4a05-ab68-6ce3aba5bf4e,Slider,Strike,Blocked,{},{},0,9 - 0,7,0,0,1 - 1,0 - 1,
55,9042164e-cb3b-4e10-bc18-3249c11e4835,FourSeamFastball,Ball,Called,{},{},0,9 - 0,7,0,0,0 - 0,1 - 0,
56,c0f4d013-b33b-464e-b6df-24df9541b735,FourSeamFastball,Strike,{},{},{},0,4 - 0,3,2,0,2 - 0,0 - 1,
57,33ab7bd5-971a-4af5-bf98-7e2b87887054,Changeup,Strike,Called,{},{},0,0 - 0,1,2,0,0 - 1,0 - 1,
58,40433a76-f327-4cf2-b424-dfaff3f5bb3f,Sinker,Ball,Called,{},{},0,9 - 0,8,2,0,1 - 0,1 - 0,
59,3ef8d634-0c3b-4bb5-9123-9f898654cfe1,Changeup,Ball,Called,{},{},0,9 - 0,8,2,0,0 - 0,1 - 0,
60,3140b3b3-c6f6-427d-908f-361f603d228d,Sinker,Ball,Called,{},{},0,0 - 0,3,1,0,3 - 0,1 - 0,
61,8fffb86c-e0f2-4860-acdd-89ec955bfdcb,Sinker,Ball,Called,{},{},0,0 - 0,2,2,0,0 - 1,1 - 0,
62,42c4d000-6e5b-4643-98f5-13d25f305d71,FourSeamFastball,Strike,Foul,6fb37721-f14e-4c0e-98be-044876682d83,{},1,9 - 0,9,0,0,0 - 0,0 - 1,{'mlbId': 485007791}
63,dad5691e-f48b-488f-9a96-8ed7ae84bc37,Sinker,Ball,Called,{},{},0,0 - 0,2,1,0,0 - 0,1 - 0,
64,a85b4842-2eaf-4d45-8ef5-ba43bfe6cc2b,Slider,Ball,Called,{},{},0,0 - 0,1,0,0,1 - 2,1 - 0,
65,1ccd80d8-599c-451a-9647-c7e0f09419e3,Sinker,Ball,Called,{},{},0,9 - 0,8,2,0,3 - 1,1 - 0,
66,1aa8720d-c88f-46a2-b36a-b7975046b21a,Sinker,Ball,Called,{},{},0,0 - 0,2,2,0,2 - 0,1 - 0,
67,e82dbf6f-3dcf-4349-b110-80e01ccefa71,Sinker,Strike,{},{},{},0,9 - 0,6,2,0,1 - 0,0 - 1,
68,b9a256b2-d8e4-497f-89fa-40381f72b371,Changeup,Ball,Called,{},{},0,9 - 0,6,1,0,0 - 0,1 - 0,
69,cad684cf-ed0e-449a-94c4-2b71e95fd269,Sinker,Strike,Called,{},{},0,7 - 0,5,0,0,1 - 1,0 - 1,
70,5c338471-c3a8-4e4c-8a33-892efb9bc0f0,Sinker,HitIntoPlay,{},5e109c86-d951-4253-aa89-f4dd8f8abecc,{},1,9 - 0,8,0,0,0 - 2,0 - 0,{'mlbId': 849653732}
71,0aca77bf-22fc-4bba-ac6e-e64ec49334a7,FourSeamFastball,Strike,{},{},{},0,6 - 0,4,0,1,0 - 2,0 - 1,
72,9e18ebc4-6dbd-467c-b125-c1ec72ea8711,Slider,Ball,Called,{},{},0,0 - 0,3,0,0,1 - 0,1 - 0,
73,f9b7ac73-e670-40ef-9cb6-74b6510fecb9,Cutter,Ball,Called,{},{},0,6 - 0,4,0,0,0 - 1,1 - 0,
74,6220c535-db3e-4007-ba1c-a89014ade7a0,Sinker,Strike,{},{},{},0,0 - 0,1,0,0,1 - 0,0 - 1,
75,d272907c-c255-4b6a-80a7-7cef4e3833b9,Slider,Ball,Called,{},{},0,2 - 0,3,2,0,1 - 2,1 - 0,
76,1ebabf1f-838d-4f9d-99b5-1491d68e6c7f,Changeup,Ball,Called,{},{},0,9 - 0,6,1,0,0 - 0,1 - 0,
77,76ad0de6-ab66-4544-b70a-0738ab26db7b,Sinker,Ball,Called,{},{},0,0 - 0,3,1,0,0 - 1,1 - 0,
78,47588fc6-e103-4a7e-85f5-39ecc82aa4da,Sinker,HitIntoPlay,{},c7eb597c-43b8-4c05-affa-7c10be3e9901,{},1,7 - 0,5,2,0,1 - 1,0 - 0,{'mlbId': 854238128}
79,47af9ffd-8ce2-4448-8b78-d9b1a2038baf,FourSeamFastball,Strike,Called,{},{},0,9 - 0,7,1,0,3 - 0,0 - 1,
80,49f9cdd2-d8f4-477c-bf68-158aefc0fa99,Sinker,Strike,Foul,0960e748-bcdf-4c4e-8eee-1ccffb909c08,{},1,0 - 0,1,0,0,1 - 2,0 - 0,{'mlbId': 412098649}
81,d69ff164-7325-4842-a51c-9a7a93014642,Slider,Strike,Foul,{},{},0,6 - 0,4,1,0,1 - 2,0 - 0,
82,{},{},Pickoff,ThrowToFirst,{},{},0,6 - 0,3,2,1,0 - 1,0 - 0,
83,140e1a04-5427-49be-81de-2f4288baa2aa,Sinker,Strike,Foul,{},{},0,7 - 0,5,2,0,0 - 0,0 - 1,
84,c19a4c14-85a1-4e38-9827-77c72084cb6a,Cutter,HitIntoPlay,{},0717e1ab-d4b8-46d5-a417-6960f393b042,{},1,9 - 0,8,0,0,0 - 2,0 - 0,{'mlbId': 412098649}
85,c26ba558-aa05-4ad1-8f97-b66f69e4dd18,Sinker,Ball,Called,{},{},0,9 - 0,8,2,0,1 - 0,1 - 0,
86,6833ade9-60f6-48c8-8feb-fa558df43346,Changeup,Ball,Called,{},{},0,7 - 0,5,0,0,2 - 2,1 - 0,
87,f72a2355-79d9-4d6d-adc9-598e0e219fed,Sinker,Strike,Called,{},{},0,7 - 0,5,1,0,1 - 0,0 - 1,
88,e0d459e5-0764-4c14-ad85-6f1c63300658,Cutter,Ball,Called,{},{},0,6 - 0,4,0,0,3 - 2,1 - 0,
89,898145b0-8441-4cd0-a77e-548889e0eb85,FourSeamFastball,Ball,Called,{},{},0,7 - 0,4,2,0,2 - 2,1 - 0,
90,d537f904-82c6-436d-a0b9-1fabfb5760f1,Slider,HitIntoPlay,{},34e45593-4577-431f-ac34-8a2f222be7f3,{},1,9 - 0,9,1,1,0 - 2,0 - 0,{'mlbId': 558675411}
91,afe3e36f-08e4-4f68-867c-a14843f3ecf8,Slider,Strike,Called,{},{},0,0 - 0,2,2,1,3 - 2,0 - 1,
92,e3b863e1-7f58-442a-b9f3-57aa416b75e8,Sinker,Strike,Foul,d1f36bb3-7632-46f1-a010-4add7799d471,{},1,0 - 0,1,2,0,0 - 0,0 - 1,{'mlbId': 765710437}
93,12901ed5-55e0-4264-b089-d651d77b0ed9,Sinker,Ball,Called,{},{},0,0 - 0,3,0,0,1 - 0,1 - 0,
94,d1618e12-bb24-44c1-95d8-19ae79867cf5,Changeup,Ball,Called,{},{},0,7 - 0,5,0,0,0 - 1,1 - 0,
95,bfd5eaa9-c6bf-46f2-8203-3a937869dc1b,Cutter,Ball,Called,{},{},0,6 - 0,4,0,0,1 - 1,1 - 0,
96,26a1ca0d-a415-43bc-be9c-a454e959f311,Sinker,Strike,Called,{},{},0,0 - 0,2,2,0,3 - 0,0 - 1,
97,112607aa-1a73-4e2b-b128-74563816ec8b,Slider,Strike,Called,{},{},0,9 - 0,7,2,0,0 - 1,0 - 1,
98,578a2f10-fab2-4695-b88f-15042ba69ee0,FourSeamFastball,Strike,Called,{},{},0,6 - 0,4,1,0,1 - 1,0 - 1,
99,f9c4267d-6650-453c-bbb4-d62e6008747a,Changeup,Strike,{},{},{},0,9 - 0,6,0,1,0 - 2,0 - 1,
100,6a15757b-57ff-4007-a659-48dbc43244a0,Changeup,Strike,Called,{},{},0,9 - 0,6,1,0,1 - 1,0 - 1,
101,d2ae1c1c-06ee-478b-8dd1-fe706f92abdf,Slider,Strike,{},{},{},0,9 - 0,6,2,1,3 - 2,0 - 1,
102,e8eb18a9-0a35-4a7f-9345-d88b25b09f86,Cutter,Ball,Called,{},{},0,3 - 0,3,2,0,1 - 0,1 - 0,
103,1c39204b-36cf-439c-ad3e-3e5d733f05d1,Cutter,Ball,Called,{},{},0,2 - 0,3,2,0,2 - 2,1 - 0,
104,34e7826d-8f41-43e9-a055-68cdfe7c87b2,Sinker,Strike,Foul,{},{},0,9 - 0,6,2,0,1 - 1,0 - 1,
105,dd3f126f-b3a2-403c-8af6-8b24475bcbd6,Curveball,Strike,Foul,fcf4b904-a337-4292-b035-8099f457ca08,{},1,9 - 0,6,0,0,0 - 1,0 - 1,{'mlbId': 412098649}
106,b5d93921-9ccc-4711-b1a0-3b6760b06b8e,Sinker,Ball,Called,{},{},0,9 - 0,6,2,0,1 - 2,1 - 0,
107,ed8f17cc-d1f1-46fd-9514-686a65addd96,Slider,Ball,Called,{},{},0,0 - 0,1,2,0,0 - 2,1 - 0,
108,b18aa588-b538-4ec6-9552-cbcd11077b36,Slider,HitIntoPlay,{},{},{},0,6 - 0,4,2,1,1 - 2,0 - 0,
109,81c48c2a-1d9d-4096-8c4e-0adbf129ea5c,Slider,Strike,Foul,cf857bdd-8a58-4eee-a566-d53a65e62d35,{},1,9 - 0,7,2,0,1 - 2,0 - 0,{'mlbId': 360906992}
110,2e271d3a-ac66-4450-9a74-f3ef6ebb71f2,Sinker,Ball,Called,{},{},0,7 - 0,5,1,0,3 - 2,1 - 0,
111,d61a1089-5945-4645-a96f-2812aaf9309a,Cutter,Ball,Called,{},{},0,7 - 0,4,2,0,0 - 2,1 - 0,
112,723f67c6-32d0-4063-8f67-34c706ff9e64,Changeup,HitIntoPlay,{},4557ab15-561e-47e6-a395-a2204e923568,{},1,9 - 0,7,0,1,2 - 2,0 - 0,{'mlbId': 505414610}
113,0a39e4f7-d55b-40bc-8824-1222de30da3b,Sinker,Strike,Called,{},{},0,0 - 0,2,0,0,0 - 0,0 - 1,
114,67638c58-c965-41b2-94bf-c18628015064,FourSeamFastball,Strike,Called,{},{},0,6 - 0,4,0,0,1 - 1,0 - 1,
115,d2bb7501-5377-4490-ba25-8bb28e0fd277,FourSeamFastball,Ball,Called,{},{},0,6 - 0,4,0,0,0 - 0,1 - 0,
116,9a29d9f8-7497-4988-a941-ad34750d9d8f,Cutter,Strike,{},{},{},0,0 - 0,1,0,1,2 - 2,0 - 1,
117,93ebadc3-ea0a-4cf0-ad18-debe3f97805f,Changeup,HitIntoPlay,{},0a819a81-3a69-4619-a4a0-9e83197df860,{},1,9 - 0,7,2,1,1 - 2,0 - 0,{'mlbId': 854238128}
118,cc7bba24-1171-41bc-9335-4a248fd1b0b2,Curveball,Ball,Called,{},{},0,0 - 0,2,2,0,1 - 0,1 - 0,
119,f93bc664-073f-4092-bc68-3f7cf9aba6cb,FourSeamFastball,Strike,Called,{},{},0,9 - 0,7,1,0,3 - 1,0 - 1,
120,356dd4c4-9e7d-4d17-8784-93f10783c5b6,Sinker,Strike,Called,{},{},0,0 - 0,1,0,0,1 - 1,0 - 1,
121,39e5a483-5cc5-4c72-9fa4-2da86771e280,Sinker,Ball,Called,{},{},0,0 - 0,3,0,0,0 - 0,1 - 0,
122,e7e32f22-c9e6-4b91-a98a-fc880cffc839,Slider,HitIntoPlay,{},5c0f6cd7-f4c2-4f60-b26b-532f0376576e,{},1,0 - 0,3,0,0,0 - 1,0 - 0,{'mlbId': 854238128}
123,249d22c7-31f8-4b5b-92af-9a7aa0e2662d,Sinker,Ball,Called,{},{},0,2 - 0,3,2,0,0 - 1,1 - 0,
124,fa5bcadb-1f05-4210-be57-b6b0b51a063b,Sinker,Strike,Foul,19026651-667e-4dca-bd4a-dcaa820bc2f2,{},1,9 - 0,8,0,0,0 - 2,0 - 0,{'mlbId': 412098649}
125,af75c5a5-0c7a-497e-88de-9bfc204ed96e,Curveball,Ball,Called,{},{},0,9 - 0,7,1,0,0 - 0,1 - 0,
126,fd43bc91-5d4c-49ad-a88f-60926f45c593,Slider,Ball,Called,{},{},0,0 - 0,2,1,0,0 - 0,1 - 0,
127,c4516ad7-fd11-4bc8-a89d-73ef3f312de8,Cutter,Ball,Called,{},{},0,9 - 0,8,0,0,0 - 0,1 - 0,
128,06250b96-c86a-4160-bab3-822d045231f6,Curveball,Strike,Called,{},{},0,0 - 0,2,1,0,1 - 0,0 - 1,
129,40a3918f-17e2-4e2c-aed3-9b1b8c2c44ca,Changeup,Ball,Called,{},{},0,9 - 0,6,2,0,1 - 0,1 - 0,
130,a003ab28-9759-404a-9f28-4c57dc5ffe5c,FourSeamFastball,HitIntoPlay,{},feed4e7f-ab51-432c-9fd9-459555742482,{},1,4 - 0,3,2,0,3 - 2,0 - 0,{'mlbId': 805688901}
131,de362d7b-319f-4ab2-b5e0-ee2cf6b3cb63,Slider,Strike,{},{},{},0,7 - 0,5,0,0,0 - 0,0 - 1,
132,9fba69d1-8085-4b00-be3b-b06178744e81,Sinker,Strike,Called,{},{},0,9 - 0,8,1,0,2 - 0,0 - 1,
133,bd2efc93-7838-4d4b-8b99-ab43a387815f,Cutter,Strike,Called,{},{},0,2 - 0,3,2,0,1 - 1,0 - 1,
134,1a5e152f-f2e8-469c-b15d-e60580b49a0b,Changeup,Ball,Called,{},{},0,9 - 0,6,2,0,0 - 0,1 - 0,
135,fbe64505-cabd-419b-b900-28d0145c68c1,Changeup,HitIntoPlay,{},b9414597-bfe6-4016-96cf-48214bede4bd,{},1,0 - 0,1,1,1,0 - 1,0 - 0,{'mlbId': 352830460}
136,48e626dd-687d-4a7b-a69b-01445af381b1,Changeup,HitIntoPlay,{},ba3924d5-37d2-4203-bb15-4d817ce0adf3,{},1,9 - 0,6,1,1,1 - 2,0 - 0,{'mlbId': 719210239}
137,1785a0d9-b057-4fb4-8cf9-75f8252c29b2,Slider,Ball,Called,{},{},0,7 - 0,5,1,0,2 - 2,1 - 0,
138,9b08fde3-72af-4c33-806d-946e3b2b9ea4,Sinker,HitIntoPlay,{},412c2d8c-12ff-4859-9c3a-e08f0c6e5cc4,{},1,7 - 0,5,1,2,1 - 0,0 - 0,{'mlbId': 545569723}
139,f7453016-1541-4fad-bada-b8d58b48432a,Slider,Strike,{},{},{},0,7 - 0,5,1,0,0 - 1,0 - 1,
140,75bc7c96-f829-47ea-8ddb-50be5c249a64,Sinker,Strike,Called,{},{},0,7 - 0,5,1,0,2 - 1,0 - 1,
141,2afe5ad3-3388-4513-bdc1-36d2c5a0d605,Sinker,Strike,{},077e61d4-4509-4654-ab89-527965942e55,{},1,9 - 0,8,0,0,0 - 0,0 - 1,{'mlbId': 412098649}
142,1242c10e-1e5d-4fa7-a560-3b0794d495cf,Sinker,Strike,Called,{},{},0,7 - 0,5,1,0,0 - 0,0 - 1,
143,c01b9594-3e75-4ed0-a13a-cc32ddb286d6,Slider,Ball,Called,{},{},0,7 - 0,5,2,0,1 - 2,1 - 0,
144,ddd56f14-589e-4c55-a3b2-58e5a131414d,Sinker,Ball,Called,{},{},0,0 - 0,3,1,0,2 - 0,1 - 0,
145,ce4e8528-7f11-4ae2-92c2-081efe7bb45c,Sinker,Strike,Called,{},{},0,6 - 0,4,2,0,1 - 1,0 - 1,
146,6ed09546-1e89-4418-8593-92a1a3986de5,Curveball,Ball,BallInDirt,{},{},0,6 - 0,4,0,0,1 - 2,1 - 0,
147,015c3a94-30ec-438a-b343-8a542183c8bc,Sinker,Strike,Called,{},{},0,0 - 0,3,2,0,0 - 0,0 - 1,
148,347ba753-f1d6-47db-941d-c40110e72b36,Slider,Strike,Called,{},{},0,7 - 0,5,0,0,0 - 1,0 - 1,
149,ab7f8945-4ba0-45f1-9c67-602119606b5a,Slider,Strike,Called,{},{},0,7 - 0,5,2,0,1 - 1,0 - 1,
150,f06e1df5-ae11-45c8-9271-113e02364982,Sinker,Strike,Foul,e4299e45-518e-4ada-914e-8890c0db9823,{},1,0 - 0,2,0,0,0 - 0,0 - 1,{'mlbId': 686425745}
151,556ef114-35d0-43c4-8caa-2e0979c3e483,Cutter,Strike,Foul,{},{},0,0 - 0,3,0,0,1 - 1,0 - 1,
152,0051f5bb-1024-4673-a4f3-c9e51bf4f6fc,Changeup,HitIntoPlay,{},a7cd75ed-1423-47e2-a32f-29c1b9d68930,{},1,0 - 0,1,2,0,0 - 2,0 - 0,{'mlbId': 765710437}
153,8d0abf82-6953-40c6-8ac2-50ca684333b0,FourSeamFastball,Ball,Called,{},{},0,9 - 0,8,1,0,0 - 0,1 - 0,
154,346487c9-422f-4515-a549-e66e3f09c82a,Sinker,Strike,Foul,31f72f30-5b49-4d6a-b82f-dea5d9ba28b5,{},1,9 - 0,6,0,0,0 - 2,0 - 0,{'mlbId': 459722179}
155,f2e6a6f6-2c46-4be0-8eb2-6ee5eaa663a3,Cutter,Strike,{},{},{},0,0 - 0,3,0,0,0 - 0,0 - 1,
156,704d0b3e-123f-45da-aea4-4f93dc9a0e85,Cutter,Strike,Called,{},{},0,9 - 0,8,0,0,0 - 1,0 - 1,
157,be38eb9e-fdb9-427d-b0c9-b8b82da45835,Changeup,Strike,{},{},{},0,9 - 0,7,0,0,2 - 1,0 - 1,
158,2eec1a6a-db95-48bb-84a0-a58e6c70aee0,Slider,Strike,Called,{},{},0,9 - 0,5,2,0,2 - 0,0 - 1,
159,a97f9292-d602-4228-b38d-25f38435cd35,Cutter,Ball,Called,{},{},0,7 - 0,5,1,0,0 - 0,1 - 0,
160,2ca13312-4eb0-4dbb-a111-8c64b8230e84,Sinker,Strike,Called,{},{},0,0 - 0,2,0,0,0 - 1,0 - 1,
161,1f36c9a8-197e-483d-85a1-d33fe175e2ce,Slider,Strike,Called,{},{},0,9 - 0,7,2,0,0 - 0,0 - 1,
162,e51c4877-3bff-4277-9bf3-93fddc409dbf,Slider,Strike,Foul,171b32f6-9067-4020-947c-e24ec9083f89,{},1,9 - 0,9,2,0,1 - 1,0 - 1,{'mlbId': 360906992}
163,b7056da5-a630-4beb-8cd0-20261eb20350,Curveball,Strike,Called,{},{},0,0 - 0,3,1,0,0 - 0,0 - 1,
164,22789bfe-220f-4e92-a7be-a6328d4d4bb2,Curveball,Ball,Called,{},{},0,9 - 0,7,0,0,1 - 1,1 - 0,
165,e5449df2-999e-426a-883d-1eff7c0cefc1,Curveball,Ball,Called,{},{},0,9 - 0,8,1,0,2 - 1,1 - 0,
166,dc0008b0-225a-45c7-8220-8a4a5199389a,Slider,Strike,Foul,7aa84367-8d6e-45ab-aa99-6c11afec34ff,{},1,9 - 0,9,2,0,2 - 2,0 - 0,{'mlbId': 360906992}
167,31bfacfe-6a5d-497f-b7c5-5e9bc36dff24,Changeup,Ball,Called,{},{},0,9 - 0,7,0,0,0 - 1,1 - 0,
168,4a81f6fe-ab63-452e-8959-d481e194aaad,Sinker,Strike,Called,{},{},0,0 - 0,2,1,0,1 - 0,0 - 1,
169,2a060c67-4a17-4ca9-85a6-61aa6f10ab42,Sinker,Strike,Foul,97567688-2726-4c36-a4c4-5ed363e89754,{},1,0 - 0,2,0,0,0 - 2,0 - 0,{'mlbId': 686425745}
170,bbcfbbf2-7b66-4aad-a4a2-43214f04c2f0,Slider,Strike,Foul,5cf17a50-464a-43c5-a51b-1961bde2fea6,{},1,0 - 0,2,2,0,3 - 2,0 - 0,{'mlbId': 805688901}
